Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
1,Suzuki Alto,2016,38856,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,In Stock,Local,15,Athuraliya,Monday,Afternoon,4.6
2,Suzuki Alto,2021,121034,Suspension,Wheel Bearing Noise,Major,Wheel Bearing,In Stock,Authorized,16,Hiththetiya,Thursday,Afternoon,5.6
3,Suzuki Alto,2015,172179,Electrical,Battery Drain,Minor,Battery,In Stock,Local,22,Akuressa,Monday,Evening,0.5
4,Suzuki Alto,2015,68077,Engine,Radiator Cap Fault,Minor,Radiator Cap,Order Required,Local,11,Welipitiya,Thursday,Morning,0.5
5,Suzuki Alto,2014,157755,Transmission,CVT Jerking (AGS),Major,AGS Actuator/Oil,In Stock,Local,11,Paburana,Friday,Morning,12.5
6,Suzuki Alto,2021,43331,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Authorized,19,Weligama,Saturday,Morning,2.4
7,Suzuki Alto,2020,40659,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Authorized,16,Hakmana,Tuesday,Morning,2.7
8,Suzuki Alto,2017,54699,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Authorized,13,Seethawaka,Sunday,Afternoon,0.5
9,Suzuki Alto,2014,203256,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,Order Required,Local,18,Kamburupitiya,Wednesday,Evening,0.8
10,Suzuki Alto,2016,121003,AC,Compressor Noise,Major,Compressor,In Stock,Authorized,15,Kirinda Puhulwella,Wednesday,Afternoon,10.9
11,Suzuki Alto,2018,175796,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Local,22,Meddawatta,Monday,Morning,1.9
12,Suzuki Alto,2022,29168,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Local,13,Pallimulla,Wednesday,Evening,3.4
13,Suzuki Alto,2021,54658,Suspension,Wheel Bearing Noise,Minor,Wheel Bearing,In Stock,Local,13,Akuressa,Sunday,Evening,1.3
14,Suzuki Alto,2012,383574,AC,Blower Fan Issue,Moderate,Blower Motor,In Stock,Local,7,Kaduwela,Thursday,Evening,1.4
15,Suzuki Alto,2012,77809,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,16,Borella,Wednesday,Evening,0.6
16,Suzuki Alto,2018,73394,Engine,Engine Knocking,Moderate,Engine Overhaul Kit,In Stock,Local,4,Nupe,Tuesday,Evening,25.9
17,Suzuki Alto,2012,76545,Brake,Brake Shoe Wear,Moderate,Brake Shoes,In Stock,Local,6,Kesbewa,Monday,Afternoon,2.4
18,Suzuki Alto,2022,38074,Suspension,Shock Absorber Leaking,Minor,Shock Absorbers,Order Required,Local,21,Dondra,Saturday,Evening,0.9
19,Suzuki Alto,2012,41810,Electrical,Starter Motor Fault,Moderate,Starter Motor,Order Required,Local,13,Nawimana,Saturday,Afternoon,2.5
20,Suzuki Alto,2013,177670,Electrical,Rat Bite Damage,Minor,Wiring Harness Repair,In Stock,Local,11,Padukka,Monday,Morning,1.9
21,Suzuki Alto,2018,82890,Electrical,Alternator Failure,Minor,Alternator,In Stock,Local,16,Borella,Thursday,Morning,1.6
22,Suzuki Alto,2018,172706,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,1,Dondra,Wednesday,Evening,0.5
